index,City,Date,Card Type,Exp Type,Gender,Amount,Country,Month,Day
0,Delhi,2014-10-29,Gold,Bills,Female,82475, India,October,Wednesday
1,Greater Mumbai,2014-08-22,Platinum,Bills,Female,32555, India,August,Friday
2,Bengaluru,2014-08-27,Silver,Bills,Female,101738, India,August,Wednesday
3,Greater Mumbai,2014-04-12,Signature,Bills,Female,123424, India,April,Saturday
4,Bengaluru,2015-05-05,Gold,Bills,Female,171574, India,May,Tuesday
5,Delhi,2014-09-08,Silver,Bills,Female,100036, India,September,Monday
6,Delhi,2015-02-24,Gold,Bills,Female,143250, India,February,Tuesday
7,Greater Mumbai,2014-06-26,Platinum,Bills,Female,150980, India,June,Thursday
8,Delhi,2014-03-28,Silver,Bills,Female,192247, India,March,Friday
9,Delhi,2014-09-01,Platinum,Bills,Female,67932, India,September,Monday
10,Delhi,2014-06-22,Platinum,Bills,Female,280061, India,June,Sunday
11,Greater Mumbai,2013-12-07,Signature,Bills,Female,278036, India,December,Saturday
12,Greater Mumbai,2014-08-07,Gold,Bills,Female,19226, India,August,Thursday
13,Delhi,2014-04-27,Signature,Bills,Female,254359, India,April,Sunday
14,Greater Mumbai,2014-08-15,Signature,Bills,Female,302834, India,August,Friday
15,Greater Mumbai,2014-11-28,Platinum,Bills,Female,647116, India,November,Friday
16,Greater Mumbai,2014-06-14,Signature,Bills,Female,421878, India,June,Saturday
17,Greater Mumbai,2015-03-30,Gold,Bills,Female,986379, India,March,Monday
18,Greater Mumbai,2014-03-15,Platinum,Bills,Female,213047, India,March,Saturday
19,Greater Mumbai,2013-11-09,Platinum,Bills,Female,735566, India,November,Saturday
20,Delhi,2014-04-04,Signature,Bills,Female,366102, India,April,Friday
21,Delhi,2014-07-01,Signature,Bills,Female,809623, India,July,Tuesday
22,Greater Mumbai,2015-03-27,Silver,Bills,Female,467014, India,March,Friday
23,Ahmedabad,2013-10-11,Gold,Bills,Female,668568, India,October,Friday
24,Ahmedabad,2014-03-26,Gold,Bills,Female,339112, India,March,Wednesday
25,Delhi,2014-09-27,Silver,Bills,Female,622170, India,September,Saturday
26,Bengaluru,2014-03-23,Platinum,Bills,Female,434427, India,March,Sunday
27,Greater Mumbai,2014-05-17,Signature,Bills,Female,655846, India,May,Saturday
28,Bengaluru,2015-01-18,Platinum,Bills,Female,987935, India,January,Sunday
29,Delhi,2015-04-18,Gold,Bills,Female,702774, India,April,Saturday
30,Bengaluru,2014-07-31,Signature,Bills,Female,225392, India,July,Thursday
31,Greater Mumbai,2015-02-11,Gold,Bills,Female,296573, India,February,Wednesday
32,Ahmedabad,2013-11-24,Platinum,Bills,Female,227702, India,November,Sunday
33,Ahmedabad,2014-11-08,Gold,Bills,Female,864090, India,November,Saturday
34,Ahmedabad,2014-09-06,Signature,Bills,Female,440605, India,September,Saturday
35,Ahmedabad,2015-03-24,Platinum,Bills,Female,954660, India,March,Tuesday
36,Ahmedabad,2014-01-01,Signature,Bills,Female,255577, India,January,Wednesday
37,Ahmedabad,2014-07-12,Silver,Bills,Female,337352, India,July,Saturday
38,Ahmedabad,2014-02-04,Platinum,Bills,Female,660244, India,February,Tuesday
39,Delhi,2015-02-03,Silver,Bills,Female,401351, India,February,Tuesday
40,Delhi,2013-10-27,Platinum,Bills,Female,678842, India,October,Sunday
41,Delhi,2014-05-11,Gold,Bills,Female,478861, India,May,Sunday
